"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"36","New York","36001","Albany","2011","2,037","",
"36","New York","36001","Albany","2012","2,155","",
"36","New York","36001","Albany","2013","1,956","",
"36","New York","36001","Albany","2014","1,996","",
"36","New York","36001","Albany","2015","1,956","",
"36","New York","36001","Albany","2016","1,728","",
"36","New York","36001","Albany","2017","1,764","",
"36","New York","36001","Albany","2018","1,721","",
"36","New York","36001","Albany","2019","1,638","",
"36","New York","36003","Allegany","2011","231","",
"36","New York","36003","Allegany","2012","221","",
"36","New York","36003","Allegany","2013","211","",
"36","New York","36003","Allegany","2014","190","",
"36","New York","36003","Allegany","2015","178","",
"36","New York","36003","Allegany","2016","166","",
"36","New York","36003","Allegany","2017","162","",
"36","New York","36003","Allegany","2018","158","",
"36","New York","36003","Allegany","2019","149","",
"36","New York","36005","Bronx","2011","34,603","",
"36","New York","36005","Bronx","2012","39,805","",
"36","New York","36005","Bronx","2013","42,454","",
"36","New York","36005","Bronx","2014","42,114","",
"36","New York","36005","Bronx","2015","40,382","",
"36","New York","36005","Bronx","2016","37,830","",
"36","New York","36005","Bronx","2017","33,499","",
"36","New York","36005","Bronx","2018","32,940","",
"36","New York","36005","Bronx","2019","30,763","",
"36","New York","36007","Broome","2011","1,155","",
"36","New York","36007","Broome","2012","1,187","",
"36","New York","36007","Broome","2013","1,075","",
"36","New York","36007","Broome","2014","1,201","",
"36","New York","36007","Broome","2015","1,201","",
"36","New York","36007","Broome","2016","797","",
"36","New York","36007","Broome","2017","729","",
"36","New York","36007","Broome","2018","746","",
"36","New York","36007","Broome","2019","833","",
"36","New York","36009","Cattaraugus","2011","515","",
"36","New York","36009","Cattaraugus","2012","429","",
"36","New York","36009","Cattaraugus","2013","471","",
"36","New York","36009","Cattaraugus","2014","453","",
"36","New York","36009","Cattaraugus","2015","400","",
"36","New York","36009","Cattaraugus","2016","281","",
"36","New York","36009","Cattaraugus","2017","233","",
"36","New York","36009","Cattaraugus","2018","224","",
"36","New York","36009","Cattaraugus","2019","220","",
"36","New York","36011","Cayuga","2011","252","",
"36","New York","36011","Cayuga","2012","353","",
"36","New York","36011","Cayuga","2013","325","",
"36","New York","36011","Cayuga","2014","292","",
"36","New York","36011","Cayuga","2015","284","",
"36","New York","36011","Cayuga","2016","250","",
"36","New York","36011","Cayuga","2017","287","",
"36","New York","36011","Cayuga","2018","207","",
"36","New York","36011","Cayuga","2019","191","",
"36","New York","36013","Chautauqua","2011","882","",
"36","New York","36013","Chautauqua","2012","741","",
"36","New York","36013","Chautauqua","2013","680","",
"36","New York","36013","Chautauqua","2014","775","",
"36","New York","36013","Chautauqua","2015","728","",
"36","New York","36013","Chautauqua","2016","480","",
"36","New York","36013","Chautauqua","2017","477","",
"36","New York","36013","Chautauqua","2018","468","",
"36","New York","36013","Chautauqua","2019","593","",
"36","New York","36015","Chemung","2011","736","",
"36","New York","36015","Chemung","2012","665","",
"36","New York","36015","Chemung","2013","474","",
"36","New York","36015","Chemung","2014","462","",
"36","New York","36015","Chemung","2015","450","",
"36","New York","36015","Chemung","2016","404","",
"36","New York","36015","Chemung","2017","376","",
